date,state-ids,death,hospitalized,negative,positive
2020-10-11,29,3101,6053,704655,104932
2020-10-11,30,210,892,371556,18702
2020-10-11,31,3770,,3156779,231471
2020-10-11,32,234,1076,231771,27265
2020-10-11,33,519,2526,457034,51887
2020-10-11,34,455,750,283359,9092
2020-10-11,35,16174,23894,3701144,213628
2020-10-11,36,907,3704,956930,32722
2020-10-11,37,1661,,652525,85779
2020-10-11,38,25574,89995,11565287,474286
2020-10-11,39,4999,16399,3454572,168749
2020-10-11,40,1098,7238,1240518,99387
2020-10-11,41,599,2741,703971,37262
2020-10-11,42,8350,,2033645,172216
2020-10-11,43,730,,305972,53671
2020-10-11,44,1134,2950,351100,26750
2020-10-11,45,3552,9578,1327252,157406
2020-10-11,46,286,1866,189547,28564
2020-10-11,47,2767,9215,2957644,214717
2020-10-11,48,16557,,6095073,792478
2020-10-11,49,517,4306,832727,85844
2020-10-11,50,3358,19416,2107189,158716
2020-10-11,51,20,,20620,1325
2020-10-11,52,58,,170958,1868
2020-10-11,53,2190,7786,1968403,93035
2020-10-11,54,1475,8398,1537877,158315
2020-10-11,55,382,,615814,18128
2020-10-11,56,54,323,103176,7611
2020-10-10,1,60,,488825,10428
2020-10-10,2,2664,18179,1059419,164526
2020-10-10,3,1552,5900,1049968,92220
2020-10-10,4,0,,1616,0
2020-10-10,5,5759,20229,1335929,224978
2020-10-10,6,16500,,15035669,842776
2020-10-10,7,1998,7855,924468,76619
2020-10-10,8,4530,11845,1736501,60038
2020-10-10,9,636,,413181,15918
2020-10-10,10,653,,285647,21998
2020-10-10,11,15372,46201,4789241,728921
2020-10-10,12,7393,29611,2802290,330269
2020-10-10,13,59,,51760,3056
2020-10-10,14,166,911,295153,13498
2020-10-10,15,1455,,719807,94271
2020-10-10,16,506,2013,288702,47088
2020-10-10,17,9221,,5927212,319461
2020-10-10,18,3782,13756,1341228,133411
2020-10-10,19,763,3185,494382,65807
2020-10-10,20,1249,6094,1467733,79445
2020-10-10,21,5635,,2276681,173406
2020-10-10,22,9587,12861,2259954,138340
2020-10-10,23,3995,16006,1589007,130795
2020-10-10,24,143,462,485386,5696
2020-10-10,25,7219,,3860845,149464
2020-10-10,26,2184,8302,1450275,110828
2020-10-10,27,2422,,1303437,144230
2020-10-10,28,2,4,15121,77
2020-10-10,29,3096,6053,704655,104638
2020-10-10,30,209,885,370532,18117
2020-10-10,31,3765,,3121063,229752
2020-10-10,32,234,1062,230558,26628
2020-10-10,33,519,2499,453288,51144
2020-10-10,34,455,750,283359,9092
2020-10-10,35,16171,23868,3701144,212877
2020-10-10,36,902,3678,947812,32241
2020-10-10,37,1659,,649544,85399
2020-10-10,38,25569,89995,11448176,473143
2020-10-10,39,4997,16355,3416399,167458
2020-10-10,40,1095,7218,1240518,98621
2020-10-10,41,599,2741,699663,36935
2020-10-10,42,8344,,2019440,171050
2020-10-10,43,728,,305972,53364
2020-10-10,44,1132,2934,347271,26580
2020-10-10,45,3551,9561,1313690,156621
2020-10-10,46,286,1829,188538,27947
2020-10-10,47,2758,9180,2928583,212649
2020-10-10,48,16526,,6040571,790060
2020-10-10,49,510,4275,828250,84644
2020-10-10,50,3354,19390,2089271,157905
2020-10-10,51,20,,20434,1324
2020-10-10,52,58,,169322,1857
2020-10-10,53,2190,7762,1945386,92560
2020-10-10,54,1468,8319,1530306,155602
2020-10-10,55,381,,610093,17913
2020-10-10,56,54,323,103176,7455
2020-10-09,1,60,,482894,10176
2020-10-09,2,2653,17989,1052552,163465
2020-10-09,3,1503,5805,1025546,90145
2020-10-09,4,0,,1616,0
2020-10-09,5,5746,20199,1324198,224084
2020-10-09,6,16428,,14897891,838606
2020-10-09,7,1997,7834,914437,75785
2020-10-09,8,4530,11845,1736501,60038
2020-10-09,9,634,,406382,15843
2020-10-09,10,651,,282540,21827
2020-10-09,11,15372,46201,4789241,728921
2020-10-09,12,7348,29510,2783597,329032
2020-10-09,13,58,,51506,2989
2020-10-09,14,164,900,295153,13333
2020-10-09,15,1437,,715614,93187
2020-10-09,16,503,1997,285049,46426
2020-10-09,17,9191,,5863861,316556
2020-10-09,18,3761,13648,1331943,131493
2020-10-09,19,763,3185,494382,65807
2020-10-09,20,1242,6033,1457629,78456
2020-10-09,21,5635,,2276681,173406
2020-10-09,22,9577,12846,2245381,137701
2020-10-09,23,3990,15956,1577208,130159
2020-10-09,24,143,460,485386,5666
2020-10-09,25,7200,,3817200,147816
2020-10-09,26,2174,8251,1434230,109312
